"acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo","valence","year"
0.527,"['Mac Miller']",0.614,287907,0.591,1,"1eDS8ii1utvj0PjfQLrDb4",0,5,0.111,-6.919,0,"Skin",59,"2016-09-16",0.0651,120.04,0.481,2016
0.204,"['Jon Pardi']",0.676,197893,0.916,0,"4HdxI4yrlmN2C9GaMD9mxL",0,1,0.114,-2.52,1,"Cowboy Hat",56,"2016-05-13",0.0265,108.002,0.897,2016
0.0518,"['Kanye West']",0.777,200733,0.662,1,"3MnbXlC1N7GdS9M8HzA6no",0,1,0.168,-3.761,0,"Facts (Charlie Heat Version)",60,"2016-06-10",0.143,142.059,0.4,2016
0.895,"['Rihanna']",0.494,223213,0.17,0,"6D2tzc8kRnZb7P1lNwMBLH",0,10,0.139,-11.368,1,"Close To You",62,"2016-01-28",0.0337,80.098,0.145,2016
0.258,"['Frank Ocean']",0.201,158478,0.724,1,"17yrCsl1Ai6CZLBmGj6d6p",0.0281,0,0.296,-6.744,1,"Pretty Sweet",60,"2016-08-20",0.0499,154.395,0.167,2016
0.113,"['Casey Donahew']",0.496,230280,0.786,0,"7Hle5ryHW10GCpkE8pxlpx",0,5,0.317,-3.971,1,"What Cowboys Do",55,"2016-08-19",0.0364,78.008,0.403,2016
0.303,"['Banda MS de Sergio Liz¨¢rraga']",0.723,217133,0.443,0,"56OTBUIn4xlmDhtPowlA2d",3.85e-06,0,0.246,-5.736,1,"Que Fuimos",65,"2016-02-05",0.0298,129.964,0.712,2016
0.219,"['Cody Johnson']",0.462,211507,0.71,0,"4EETgKkkLxXrsrc0q50K1P",2.47e-06,2,0.0924,-6.474,1,"Half a Song",55,"2016-08-05",0.0364,197.763,0.661,2016
0.0177,"['Saint Motel']",0.638,187893,0.819,0,"4vuJuTLFomqItDrn482nzV",0,10,0.312,-4.991,0,"Move",58,"2016-10-21",0.0643,101.031,0.721,2016
0.117,"['THE DU']",0.516,186720,0.946,0,"2TsyTag2aNa4wmUNmExzcI",4.34e-06,7,0.0641,-2.623,1,"CRAZY NOISY BIZARRE TOWN",61,"2016-04-27",0.072,135.896,0.662,2016
0.0141,"['N.W.A.']",0.862,315069,0.766,1,"3TE9GbcsnQrxUrqpdpb8I0",0,8,0.273,-8.159,0,"Fuck Tha Police",61,"2016-01-08",0.262,98.6,0.854,2016
0.0874,"['Bad Suns']",0.621,236440,0.843,0,"277XsneDiv30dhONPCOmrF",0.000196,6,0.106,-5.412,1,"Off She Goes",56,"2016-09-16",0.0315,132.01,0.445,2016
0.258,"['Masego', 'Medasin']",0.691,226168,0.67,0,"3l75jB2gKi4VpgklWIbTOz",0.764,1,0.117,-4.471,1,"Sunday Vibes",62,"2016-04-05",0.0644,170.066,0.22,2016
0.201,"['V¨¦RIT¨¦']",0.674,233077,0.593,1,"34i4yxPrHWquuR4kjiivFO",0.000529,11,0.209,-6.47,0,"Somebody Else",60,"2016-09-09",0.0582,116.995,0.464,2016
0.254,"['Ski Mask The Slump God']",0.743,140657,0.411,1,"7t2eWdGWBTAxaXxaGqq9ts",0,2,0.292,-7.343,1,"Life Is Short",59,"2016-11-04",0.376,119.693,0.339,2016
